Обапол,,Шпала 15,,Д 25 н/о,,н/о 30-35,,Д 50-150 н/о,,Б/А ,,50х100х275,,дранка,
1.418,0.01,,,0.54,,2.694,,2.37,,0.275,0.06,0.811,,0.149,2
,,,,,,0.707,3,0.54,3,0.255,0.343,0.495,,0.287,
,,,,0.099,0.384,1.467,,0.78,,2.26,2.061,,,0.242,
,,,,,,,,,,,,,,,
,,,,,0.315,,0.115,,0.099,2.151,,3.465,,0.239,
,,,,,,,,,,0.281,,5.528,0.688,,
,,,,0.143,,,,,,1.702,0.122,0.028,,0.101,
,,,,,,,,,,1.46,1.256,2.471,,,
,,,,,0.18,,,,,1.758,1.995,,4.84,0.175,2.244
,,,0.3,0.036,,,,,,1.861,1.538,,,,
,,,0.2,0.353,0.084,,,,,3.939,0.601,,,,
6.936,,,,0.794,,,,,,1.009,2.108,,,,
,,,,0.135,0.444,,0.135,,,0.84,0.632,9.543,,,
2.244,,,,,0.189,,,,,0.548,1.576,7.631,16.94,,
7.15,32,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,1.431,,,,,,2.772,2.5,,,0.414,
,,,,0.131,1.512,,,,,1.573,1.326,,14.52,1.235,1.649
,,,,1.248,,,,,,4.048,1.81,,,,
4.75,,,,0.357,2.7,,,0.25,,1.075,,0.33,,2.02,2.02
14.16,20,,,0.14,,,,,,2.065,2.058,,,,
,,,,,,,,,,,,,,,
,,,,1.424,,0.065,,,,5.31,0.515,,,0.255,
